packet_id,record_uid,slug,cve,tool,advisory_class,in_patched_file,same_callable_as_change,on_exact_changed_line,A_class_relation,A_root_cause_relation,A_evidence_quality,A_confidence,A_reason_code,B_class_relation,B_root_cause_relation,B_evidence_quality,B_confidence,B_reason_code
00bb5875e023d29accdb5ac2fb1c10206bd2f37d26668a7447d358a93d752ab1,c8ccb6e1-0747-569a-b0db-29acf7893b43,the-post-grid,CVE-2026-49054,semgrep,auth,True,False,False,MISMATCH,RELATED_AREA_DIFFERENT_DEFECT,SUFFICIENT,MEDIUM,LOCATION_ONLY,MISMATCH,RELATED_AREA_DIFFERENT_DEFECT,SUFFICIENT,HIGH,LOCATION_ONLY
023a778f3be4a099dbb41f36054c0bb176e962ce63257a83b039680a480e742b,c63c1edb-d197-577d-9c65-4fec603936e9,themesflat-addons-for-elementor,CVE-2026-39500,semgrep,xss,False,False,False,MATCH,RELATED_AREA_DIFFERENT_DEFECT,SUFFICIENT,MEDIUM,LOCATION_ONLY,MATCH,UNRELATED,SUFFICIENT,HIGH,OTHER
02e6257e292c27e26bcca5562664e5d1d0813aac39f2d9ba5e207dcda5e3fcdf,d284fb63-a2cb-52d0-9f60-87bcefb65fb4,seriously-simple-podcasting,CVE-2026-39505,semgrep,auth,True,True,True,MISMATCH,SAME_DEFECT,SUFFICIENT,HIGH,WRONG_CLASS,MISMATCH,SAME_DEFECT,SUFFICIENT,MEDIUM,SAME_SENSITIVE_OPERATION
04f4781911c4b07f8bfd7b7c771f1110bbc8035b4303a4503f963d855f89cf6a,40b92e73-2ee9-579a-8b8f-97bc3e86672c,cp-contact-form-with-paypal,CVE-2026-32433,wpt,sqli,True,True,False,MATCH,SAME_DEFECT,SUFFICIENT,HIGH,SAME_SOURCE_SINK,MATCH,SAME_DEFECT,SUFFICIENT,MEDIUM,SAME_MISSING_GUARD
055aaec7a1633d06c348fbc4445544b787ffa16322bb8c70a8f6c10e24889e90,a0283747-8722-5ddf-a34a-ce854d47bcd5,backwpup,-,wisp,rce,True,False,False,MATCH,RELATED_AREA_DIFFERENT_DEFECT,SUFFICIENT,MEDIUM,LOCATION_ONLY,MISMATCH,RELATED_AREA_DIFFERENT_DEFECT,SUFFICIENT,MEDIUM,LOCATION_ONLY
058609de26a29ae475d7cc630040c453375bb3879385b0757a2373d0e69fb11b,363cc25a-1522-5650-8ab7-fc07e3d4ddf1,e2pdf,CVE-2026-42681,wisp,xss,True,False,False,MISMATCH,RELATED_AREA_DIFFERENT_DEFECT,SUFFICIENT,MEDIUM,PATCH_TOO_BROAD,MISMATCH,RELATED_AREA_DIFFERENT_DEFECT,SUFFICIENT,MEDIUM,LOCATION_ONLY
0652f21c28054099b6dc6d8db78ba39a2961f8869cc1e25c532d216bde550679,76e861df-31ab-5502-9c65-0b7e456e04d9,quickwebp,CVE-2026-42756,progpilot,lfi,False,False,False,MISMATCH,UNRELATED,SUFFICIENT,HIGH,OTHER,MISMATCH,UNRELATED,SUFFICIENT,HIGH,OTHER
082fa817060ad838ba81080d21857ff8d0bbf7ccc210df4ed4cfe361d162003d,5b5e036f-b019-54e8-93a2-fefde0fd627a,motors-car-dealership-classified-listings,CVE-2026-54814,wisp,lfi,False,False,False,MISMATCH,UNRELATED,SUFFICIENT,HIGH,OTHER,MISMATCH,UNRELATED,SUFFICIENT,HIGH,OTHER
083075544e642b7b99df819813d4334a6851b52f5b72740f6705409c975003d2,877925a7-b36b-5a9b-83c0-49d0819fc4a6,user-registration,CVE-2026-25425,wisp,other,False,False,False,MISMATCH,RELATED_AREA_DIFFERENT_DEFECT,PARTIAL,LOW,LOCATION_ONLY,MATCH,UNRELATED,SUFFICIENT,HIGH,OTHER
0af412b6ac9c402dce77d15e5a08baa9381d4fe481f0e8ac79ee87c888a3e459,df6e8b4b-b8e6-5a35-b257-92b5681715b4,yml-for-yandex-market,CVE-2026-32567,wisp,lfi,True,False,False,MISMATCH,RELATED_AREA_DIFFERENT_DEFECT,PARTIAL,LOW,LOCATION_ONLY,MISMATCH,UNRELATED,PARTIAL,MEDIUM,WRONG_CLASS
